order_id,customer_id,order_date
1,89,2024-07-28
2,71,2024-10-24
3,9,2024-10-24
4,88,2024-08-04
5,1,2025-04-02
6,8,2024-09-22
7,88,2024-06-12
8,63,2025-01-26
9,11,2024-09-24
10,81,2024-12-02
11,8,2025-04-20
12,35,2025-01-10
13,35,2024-09-21
14,33,2024-05-28
15,5,2024-10-06
16,41,2024-08-20
17,28,2024-07-17
18,7,2024-06-21
19,73,2025-03-30
20,72,2025-03-21
21,12,2024-10-28
22,34,2024-06-09
23,33,2025-01-17
24,48,2024-07-26
25,23,2025-01-09
26,62,2025-01-08
27,88,2024-12-22
28,37,2024-05-13
29,99,2024-05-24
30,44,2025-03-06
31,86,2024-09-11
32,91,2024-08-07
33,35,2024-06-22
34,65,2025-03-06
35,99,2024-12-10
36,47,2024-07-23
37,78,2024-05-31
38,3,2025-03-23
39,1,2025-02-26
40,5,2024-12-06
41,90,2024-07-24
42,14,2024-12-18
43,27,2024-07-27
44,9,2025-03-16
45,79,2025-04-07
46,15,2024-08-03
47,90,2024-09-09
48,42,2025-03-01
49,77,2024-07-01
50,51,2025-03-07
51,63,2025-04-19
52,96,2024-12-22
53,52,2024-05-06
54,96,2024-08-20
55,4,2025-04-03
56,94,2024-06-30
57,23,2024-06-24
58,15,2024-11-30
59,43,2024-08-10
60,29,2025-03-11
61,36,2024-07-11
62,13,2024-06-16
63,32,2025-01-16
64,71,2025-04-06
65,59,2024-05-15
66,86,2024-06-25
67,28,2024-05-10
68,66,2024-09-21
69,42,2025-03-07
70,45,2025-03-07
71,62,2024-08-05
72,57,2024-12-19
73,6,2024-09-07
74,28,2024-05-11
75,28,2024-07-11
76,44,2024-08-16
77,84,2024-05-25
78,30,2024-06-23
79,62,2025-02-17
80,75,2024-10-15
81,92,2024-11-25
82,89,2024-06-18
83,62,2025-02-18
84,97,2024-05-29
85,1,2024-11-05
86,27,2024-10-26
87,62,2025-03-03
88,77,2024-09-22
89,3,2024-11-20
90,70,2024-12-21
91,72,2024-06-16
92,27,2024-10-27
93,9,2024-11-16
94,62,2024-07-30
95,37,2024-12-29
96,97,2024-05-21
97,51,2025-02-11
98,44,2025-03-05
99,24,2025-04-22
100,79,2025-04-06
101,59,2025-01-15
102,32,2024-11-23
103,96,2024-08-30
104,88,2024-10-29
105,52,2025-01-09
106,62,2024-05-17
107,58,2024-05-28
108,52,2024-11-07
109,12,2025-03-30
110,39,2024-10-07
111,2,2024-10-17
112,3,2025-01-26
113,56,2024-06-15
114,81,2024-11-11
115,59,2025-02-05
116,2,2025-04-23
117,2,2024-10-24
118,92,2024-06-02
119,54,2025-04-19
120,87,2024-06-05
121,96,2024-09-07
122,97,2024-12-27
123,1,2024-07-01
124,19,2024-05-30
125,2,2024-06-23
126,53,2024-08-19
127,44,2025-01-02
128,90,2025-01-05
129,32,2024-12-18
130,70,2024-12-03
131,32,2025-02-05
132,68,2024-09-08
133,55,2024-09-29
134,75,2024-12-23
135,56,2024-11-27
136,17,2024-08-27
137,38,2024-10-28
138,24,2024-11-17
139,69,2024-12-26
140,98,2024-10-19
141,70,2024-06-12
142,86,2025-03-09
143,11,2025-02-01
144,16,2024-06-18
145,97,2025-04-01
146,73,2025-01-14
147,59,2025-01-12
148,70,2025-04-10
149,80,2025-02-27
150,93,2024-12-05
